question,segment_type,segment_description,answer,count,percentage
What social platform has influenced your online shopping most?,University,Chaparral High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Chaparral High School,None,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Colorado Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,None,1,0.5
What social platform has influenced your online shopping most?,University,United States Naval Academy,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,None,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,None,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,None,0,0.0
What social platform has influenced your online shopping most?,University,Stanford University,Facebook,2,0.286
What social platform has influenced your online shopping most?,University,Stanford University,Instagram,1,0.143
